Organization_ID,Industry,Company_Size,Employee_Count,AI_Tool,Adoption_Year,AI_Adoption_Score,Monthly_AI_Users,Productivity_Gain_Percent,Satisfaction_Score,AI_Investment_USD,Annual_Cost_Savings_USD,ROI_Percent,Training_Hours_Per_Employee,Automation_Level_Percent
ORG0001,Manufacturing,Medium,522,Claude,2025,76,206,50.31,7.6,48016.29,93254.21,94.21,30,80
ORG0002,Manufacturing,Small,116,Cursor,2021,56,27,31.51,2.5,24307.6,59121.97,143.22,53,48
ORG0003,Finance,Medium,380,GitHub Copilot,2023,84,100,39.27,4.3,68441.93,137213.19,100.48,15,91
ORG0004,Retail,Small,35,Cursor,2024,61,14,32.68,4.3,7718.52,13394.36,73.54,80,68
ORG0005,Marketing,Small,121,Gemini,2024,78,25,53.08,7.4,18492.33,32151.76,73.87,54,85
ORG0006,Telecom,Large,3709,Claude,2024,87,1715,53.93,8.5,1122724.43,1431147.47,27.47,88,97
ORG0007,Manufacturing,Small,47,Gemini,2021,57,28,42.62,3.8,9501.58,16054.49,68.97,64,50
ORG0008,Finance,Small,20,Gemini,2023,73,12,50.13,6.1,3144.39,3746.67,19.15,81,61
ORG0009,Education,Medium,288,GitHub Copilot,2025,59,128,36.97,4.4,35209.95,64126.39,82.13,82,52
ORG0010,Manufacturing,Small,60,ChatGPT,2022,50,33,28.69,2.7,15202.66,42554.77,179.92,46,49
ORG0011,IT,Large,9673,Gemini,2024,93,3973,32.65,3.5,1992667.46,5966074.04,199.4,86,81
ORG0012,Telecom,Medium,659,Claude,2025,83,154,61.83,7.0,102029.33,289256.29,183.5,83,89
ORG0013,Telecom,Large,1612,GitHub Copilot,2026,84,700,44.77,6.3,104092.82,269419.75,158.83,8,85
ORG0014,Telecom,Large,4365,Claude,2021,97,2105,68.4,9.2,1130069.61,2288038.99,102.47,72,100
ORG0015,Finance,Medium,425,Claude,2023,85,100,31.68,3.6,77431.98,196372.96,153.61,97,73
ORG0016,Telecom,Large,2132,ChatGPT,2023,88,772,50.59,5.6,184786.97,281419.27,52.29,29,88
ORG0017,Finance,Large,4054,Gemini,2024,100,1467,46.53,6.5,1215595.79,2849383.66,134.4,63,91
ORG0018,Finance,Medium,373,ChatGPT,2020,99,165,64.4,7.2,75866.42,230106.83,203.31,88,100
ORG0019,Manufacturing,Medium,493,Cursor,2024,49,178,32.6,3.6,51512.91,91423.55,77.48,60,50
ORG0020,Manufacturing,Medium,667,Gemini,2021,64,328,35.96,2.4,158457.38,279170.27,76.18,42,64
ORG0021,Manufacturing,Small,81,ChatGPT,2025,57,48,20.94,4.4,4184.75,8864.6,111.83,82,47
ORG0022,Finance,Small,22,Jasper,2023,72,12,48.21,6.6,2474.44,5025.77,103.11,37,60
ORG0023,Marketing,Small,99,Claude,2026,71,60,26.31,4.1,8887.44,20510.29,130.78,32,57
ORG0024,IT,Medium,335,GitHub Copilot,2025,88,117,57.74,5.6,115484.34,167803.97,45.3,19,97
ORG0025,IT,Medium,777,Midjourney,2019,91,165,60.14,8.3,121823.73,371867.38,205.25,95,83
ORG0026,Telecom,Medium,869,ChatGPT,2025,82,250,46.39,5.6,64418.82,147475.82,128.93,44,93
ORG0027,Finance,Large,6746,Gemini,2024,92,1772,53.26,5.6,1184517.04,2430021.0,105.15,13,100
ORG0028,Manufacturing,Large,3871,Claude,2023,58,2301,37.22,5.5,303084.72,783192.9,158.41,29,43
ORG0029,Manufacturing,Large,9626,Claude,2026,75,4367,50.61,5.4,1607178.8,4315393.8,168.51,89,84
ORG0030,Telecom,Small,146,Claude,2022,71,87,38.44,3.7,19667.49,38920.66,97.89,76,70
ORG0031,Telecom,Large,8722,Jasper,2023,90,2376,35.73,3.8,677314.14,1602632.01,136.62,33,100
ORG0032,Marketing,Medium,757,Gemini,2024,67,144,39.01,4.5,180680.99,421353.62,133.2,30,64
ORG0033,Retail,Large,8958,ChatGPT,2025,65,4827,27.96,3.4,2543444.93,4066216.25,59.87,11,61
ORG0034,Telecom,Medium,954,Gemini,2023,93,390,47.86,7.0,56130.59,68105.03,21.33,13,93
ORG0035,Retail,Medium,734,GitHub Copilot,2025,58,382,21.87,1.9,252606.62,360916.98,42.88,73,43
ORG0036,Finance,Small,123,Gemini,2025,84,44,48.93,7.1,33909.3,65466.76,93.06,58,89
